V,t
0.628227226464,9.83
0.6619449542,9.84
0.695325504658,9.85
0.728372249611,9.86
0.761088527115,9.87
0.793477641844,9.88
0.825542865425,9.89
0.857287436771,9.9
0.888714562403,9.91
0.919827416779,9.92
0.950629142612,9.93
0.981122851185,9.94
1.01131162267,9.95
1.04119850645,9.96
1.07078652138,9.97
1.10007865617,9.98
1.12907786961,9.99
1.15778709091,10.0
1.18620922,10.01
1.2143471278,10.02
1.24220365652,10.03
1.26978161996,10.04
1.29708380376,10.05
1.32411296572,10.06
1.35087183606,10.07
1.3773631177,10.08
1.40358948653,10.09
1.42955359166,10.1
1.45525805574,10.11
1.48070547519,10.12
1.50589842044,10.13
1.53083943623,10.14
1.55553104187,10.15
1.57997573145,10.16
1.60417597414,10.17
1.62813421439,10.18
1.65185287225,10.19
1.67533434353,10.2
1.69858100009,10.21
1.72159519009,10.22
1.74437923819,10.23
1.76693544581,10.24
1.78926609135,10.25
1.81137343044,10.26
1.83325969613,10.27
1.85492709917,10.28
1.87637782818,10.29
1.8976140499,10.3
1.9186379094,10.31
1.9394515303,10.32
1.960057015,10.33
1.98045644485,10.34
2.0006518804,10.35
2.0206453616,10.36
2.04043890798,10.37
2.0600345189,10.38
2.07943417371,10.39
2.09863983198,10.4
2.11765343366,10.41
2.13647689932,10.42
2.15511213033,10.43
2.17356100902,10.44
2.19182539893,10.45
2.20990714494,10.46
2.2278080735,10.47
2.24552999276,10.48
2.26307469283,10.49
2.2804439459,10.5
2.29763950645,10.51
2.31466311138,10.52
2.33151648027,10.53
2.34820131546,10.54
2.36471930231,10.55
2.38107210929,10.56
2.39726138819,10.57
2.41328877431,10.58
2.42915588657,10.59
2.4448643277,10.6
2.46041568443,10.61
2.47581152758,10.62
2.49105341231,10.63
2.50614287818,10.64
2.5210814494,10.65
2.53587063491,10.66
2.55051192856,10.67
2.56500680927,10.68
2.57935674118,10.69
2.59356317377,10.7
2.60762754203,10.71
2.62155126661,10.72
2.63533575394,10.73
2.6489823964,10.74
2.66249257244,10.75
2.67586764672,10.76
2.68910897025,10.77
2.70221788055,10.78
2.71519570174,10.79
2.72804374472,10.8
2.74076330728,10.81
2.7533556742,10.82
2.76582211746,10.83
2.77816389629,10.84
2.79038225732,10.85
2.80247843475,10.86
2.8144536504,10.87
2.8263091139,10.88
2.83804602276,10.89
2.84966556253,10.9
2.86116890691,10.91
2.87255721784,10.92
2.88383164566,10.93
2.8949933292,10.94
2.90604339591,10.95
2.91698296195,10.96
2.92781313233,10.97
2.93853500101,10.98
2.949149651,10.99
2.95965815449,11.0
2.97006157294,11.01
2.98036095721,11.02
2.99055734764,11.03
0.0,11.04
0.04,11.05
0.0796,11.06
0.118804,11.07
0.15761596,11.08
0.1960398004,11.09
0.234079402396,11.1
0.271738608372,11.11
0.309021222288,11.12
0.345931010065,11.13
0.382471699965,11.14
0.418646982965,11.15
0.454460513135,11.16
0.489915908004,11.17
0.525016748924,11.18
0.559766581435,11.19
0.59416891562,11.2
0.628227226464,11.21
0.6619449542,11.22
0.695325504658,11.23
0.728372249611,11.24
0.761088527115,11.25
0.793477641844,11.26
0.825542865425,11.27
0.857287436771,11.28
0.888714562403,11.29
0.919827416779,11.3
0.950629142612,11.31
0.981122851185,11.32
1.01131162267,11.33
1.04119850645,11.34
1.07078652138,11.35
1.10007865617,11.36
1.12907786961,11.37
1.15778709091,11.38
1.18620922,11.39
1.2143471278,11.4
1.24220365652,11.41
1.26978161996,11.42
1.29708380376,11.43
1.32411296572,11.44
1.35087183606,11.45
1.3773631177,11.46
1.40358948653,11.47
1.42955359166,11.48
1.45525805574,11.49
1.48070547519,11.5
1.50589842044,11.51
1.53083943623,11.52
1.55553104187,11.53
1.57997573145,11.54
1.60417597414,11.55
1.62813421439,11.56
1.65185287225,11.57
1.67533434353,11.58
1.69858100009,11.59
1.72159519009,11.6
1.74437923819,11.61
1.76693544581,11.62
1.78926609135,11.63
1.81137343044,11.64
1.83325969613,11.65
1.85492709917,11.66
1.87637782818,11.67
1.8976140499,11.68
1.9186379094,11.69
1.9394515303,11.7
1.960057015,11.71
1.98045644485,11.72
2.0006518804,11.73
2.0206453616,11.74
2.04043890798,11.75
2.0600345189,11.76
2.07943417371,11.77
2.09863983198,11.78
2.11765343366,11.79
2.13647689932,11.8
2.15511213033,11.81
2.17356100902,11.82
2.19182539893,11.83
2.20990714494,11.84
2.2278080735,11.85
2.24552999276,11.86
2.26307469283,11.87
2.2804439459,11.88
2.29763950645,11.89
2.31466311138,11.9
2.33151648027,11.91
2.34820131546,11.92
2.36471930231,11.93
2.38107210929,11.94
2.39726138819,11.95
2.41328877431,11.96
2.42915588657,11.97
2.4448643277,11.98
2.46041568443,11.99
2.47581152758,12.0
2.49105341231,12.01
2.50614287818,12.02
2.5210814494,12.03
2.53587063491,12.04
2.55051192856,12.05
2.56500680927,12.06
2.57935674118,12.07
2.59356317377,12.08
2.60762754203,12.09
2.62155126661,12.1
2.63533575394,12.11
2.6489823964,12.12
2.66249257244,12.13
2.67586764672,12.14
2.68910897025,12.15
2.70221788055,12.16
2.71519570174,12.17
2.72804374472,12.18
2.74076330728,12.19
2.7533556742,12.2
2.76582211746,12.21
2.77816389629,12.22
2.79038225732,12.23
2.80247843475,12.24
2.8144536504,12.25
2.8263091139,12.26
2.83804602276,12.27
2.84966556253,12.28
2.86116890691,12.29
2.87255721784,12.3
2.88383164566,12.31
2.8949933292,12.32
2.90604339591,12.33
2.91698296195,12.34
2.92781313233,12.35
2.93853500101,12.36
2.949149651,12.37
2.95965815449,12.38
2.97006157294,12.39
2.98036095721,12.4
2.99055734764,12.41
0.0,12.42
0.04,12.43
0.0796,12.44
0.118804,12.45
0.15761596,12.46
0.1960398004,12.47
0.234079402396,12.48
0.271738608372,12.49
0.309021222288,12.5
0.345931010065,12.51
0.382471699965,12.52
0.418646982965,12.53
0.454460513135,12.54
0.489915908004,12.55
0.525016748924,12.56
0.559766581435,12.57
0.59416891562,12.58
0.628227226464,12.59
0.6619449542,12.6
0.695325504658,12.61
0.728372249611,12.62
0.761088527115,12.63
0.793477641844,12.64
0.825542865425,12.65
0.857287436771,12.66
0.888714562403,12.67
0.919827416779,12.68
0.950629142612,12.69
0.981122851185,12.7
1.01131162267,12.71
